LogType(v1.1),RootLogId,SubLogId,TransactionId,Instance,Operation,Status,User,Hostname,Protocol,Target,StartTime,ExecuteTime,ResponseCode,FullRequest,FullResponse,ReplayLogId
"southbound","node11609220238210182CAI3G1_2","/6/1","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.159","00 00:00:00.006","0","dn: mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
changetype: add
objectClass: top
objectClass: CUDBMultiServiceConsumer","",""
"internal","node11609220238210182CAI3G1_2","/7","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.166","00 00:00:00.011","0","","",""
"southbound","node11609220238210182CAI3G1_2","/7/1","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.166","00 00:00:00.011","0","dn: serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
changetype: add
SSubId: 008615800000007
TrafId: usrIdentifier:008615800000007
TrafId: usrIMSI:460000722009813
GrpId: Silver
GrpId: Inpackage
Sms: 008615800000002
CharP: offline
SOpInf: PackageType:0
SOpInf: usrBillCycleDate:1
SOpInf: operateTime:20150401000000
objectClass: top
objectClass: CUDBServiceAuxiliary
objectClass: SAPC
objectClass: SAPC1
objectClass: SAPC2
CDC: 0","",""
"internal","node11609220238210182CAI3G1_2","/8","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.177","00 00:00:00.007","0","","",""
"southbound","node11609220238210182CAI3G1_2","/8/1","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.177","00 00:00:00.006","0","dn: TRAFFICID=usrIdentifier:008615800000007,dc=trafficId,ou=identities,dc=operator,dc=com
changetype: add
objectClass: top
objectClass: alias
objectClass: TRAFFICID
aliasedObjectName: mscId=008615800000007,ou=multiSCs,dc=operator,dc=com","",""
"internal","node11609220238210182CAI3G1_2","/9","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.184","00 00:00:00.013","0","","",""
"southbound","node11609220238210182CAI3G1_2","/9/1","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.184","00 00:00:00.012","0","dn: TRAFFICID=usrIMSI:460000722009813,dc=trafficId,ou=identities,dc=operator,dc=com
changetype: add
objectClass: top
objectClass: alias
objectClass: TRAFFICID
aliasedObjectName: mscId=008615800000007,ou=multiSCs,dc=operator,dc=com","",""
"internal","node11609220238210182CAI3G1_2","/10","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.197","00 00:00:00.007","0","","",""
"southbound","node11609220238210182CAI3G1_2","/10/1","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.198","00 00:00:00.006","0","dn: GrpId=Silver,serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
changetype: add
GrpId: Silver
Gprio: 100
objectClass: top
objectClass: SAPC3","",""
"internal","node11609220238210182CAI3G1_2","/11","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.204","00 00:00:00.012","0","","",""
"southbound","node11609220238210182CAI3G1_2","/11/1","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.205","00 00:00:00.011","0","dn: GrpId=Inpackage,serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
changetype: add
GrpId: Inpackage
Gprio: 30
StartD: 22-09-2016T02:38:21
EndD: 01-10-2016
objectClass: top
objectClass: SAPC3","",""
"northbound","node11609220238210183CAI3G1_2","","","ISDN=008615800000007","Get","SUCCESSFUL","admin","node1","CAI3G1_2","SAPC@http://www.chinamobile.com/PCRF/","2016-09-22 02.38.21.262","00 00:00:00.028","0","<soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:pcrf=""http://www.chinamobile.com/PCRF/"" xmlns:pcrf1=""pcrf:soap""><soapenv:Header><pcrf:Header>
         <Address>127.0.0.1</Address>
         <Username>admin</Username>
         <Password>******</Password>
         <time>?</time>
         <serial>?</serial>
      </pcrf:Header></soapenv:Header><soapenv:Body>
      <pcrf1:getSubscriber>
         <inPara>
            <subscriber>
               <attribute>
                  <key>usrIdentifier</key>
                  <value>008615800000007</value>
               </attribute>
            </subscriber>
         </inPara>
      </pcrf1:getSubscriber>
   </soapenv:Body></soapenv:Envelope>","<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/""><S:Body><ns3:getSubscriberResponse xmlns:ns2=""http://www.chinamobile.com/PCRF/"" xmlns:ns3=""pcrf:soap""><result><resultCode>0</resultCode><subscriber><attribute><key>usrIdentifier</key><value>008615800000007</value></attribute><attribute><key>usrNotifyMSISDN</key><value>008615800000002</value></attribute><attribute><key>usrIMSI</key><value>460000722009813</value></attribute><attribute><key>usrBillingType</key><value>1</value></attribute><attribute><key>usrGrade</key><value>2</value></attribute><attribute><key>usrStatus</key><value>1</value></attribute><attribute><key>usrBillCycleDate</key><value>1</value></attribute><attribute><key>PackageType</key><value>0</value></attribute><attribute><key>operateTime</key><value>20150401000000</value></attribute></subscriber></result></ns3:getSubscriberResponse></S:Body></S:Envelope>",""
"internal","node11609220238210183CAI3G1_2","/1","","pcSubscriberId=008615800000007","READ","SUCCESSFUL","admin","node1","","{http://schemas.ericsson.com/ma/SAPC/}GetSAPCSubscription","2016-09-22 02.38.21.268","00 00:00:00.000","0","","JOBID=505;",""
"internal","node11609220238210183CAI3G1_2","/2","","","GET","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.268","00 00:00:00.004","0","","",""
"southbound","node11609220238210183CAI3G1_2","/2/1","","","SEARCH","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.269","00 00:00:00.002","0","dn: serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
Search Scope: SUBTREE
Search Filter: (objectClass=*)
Time Limit Milliseconds : 0
Count Limit: 0
Return Object: False
DerefAliases: ALWAYS
DerefLink: False","dn: serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
Sms: 008615800000002
serv: PCRF
SSubId: 008615800000007
CDC: 0
SOpInf: PackageType:0
SOpInf: usrBillCycleDate:1
SOpInf: operateTime:20150401000000
objectClass: top
objectClass: CUDBServiceAuxiliary
objectClass: SAPC
objectClass: SAPC1
objectClass: SAPC2
TrafId: usrIdentifier:008615800000007
TrafId: usrIMSI:460000722009813
GrpId: Silver
GrpId: Inpackage
CharP: offline

dn: GrpId=Silver
Gprio: 100
GrpId: Silver
objectClass: top
objectClass: SAPC3

dn: GrpId=Inpackage
StartD: 22-09-2016T02:38:21
Gprio: 30
GrpId: Inpackage
EndD: 01-10-2016
objectClass: top
objectClass: SAPC3

",""
"northbound","node11609220238210184CAI3G1_2","","","ISDN=008615800000007","Set","SUCCESSFUL","admin","node1","CAI3G1_2","SAPC@http://www.chinamobile.com/PCRF/","2016-09-22 02.38.21.331","00 00:00:00.144","0","<soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:pcrf=""http://www.chinamobile.com/PCRF/"" xmlns:pcrf1=""pcrf:soap""><soapenv:Header><pcrf:Header>
         <Address>127.0.0.1</Address>
         <Username>admin</Username>
         <Password>******</Password>
         <time>?</time>
         <serial>?</serial>
      </pcrf:Header></soapenv:Header><soapenv:Body>
      <pcrf1:updateSubscriber>
         <inPara>
            <subscriber>
               <attribute>
                  <key>usrIdentifier</key>
                  <value>008615800000007</value>
               </attribute>
               <attribute>
                  <key>usrNotifyMSISDN</key>
                  <value>008615800000022</value>
               </attribute>
               <attribute>
                  <key>usrIMSI</key>
                  <value>460000000000011</value>
               </attribute>
               <attribute>
                  <key>usrBillingType</key>
                  <value>0</value>
               </attribute>
               <attribute>
                  <key>usrGrade</key>
                  <value>2</value>
               </attribute>
               <attribute>
                  <key>usrStatus</key>
                  <value>2</value>
               </attribute>
               <attribute>
                  <key>usrBillCycleDate</key>
                  <value>98</value>
               </attribute>
               <attribute>
                  <key>PackageType</key>
                  <value>2</value>
               </attribute>
               <attribute>
                  <key>operateTime</key>
                  <value>20150401000022</value>
               </attribute>
            </subscriber>
         </inPara>
      </pcrf1:updateSubscriber>
   </soapenv:Body></soapenv:Envelope>","<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/""><S:Body><ns3:updateSubscriberResponse xmlns:ns2=""http://www.chinamobile.com/PCRF/"" xmlns:ns3=""pcrf:soap""><result><resultCode>0</resultCode></result></ns3:updateSubscriberResponse></S:Body></S:Envelope>",""
"internal","node11609220238210184CAI3G1_2","/1","","pcSubscriberId=008615800000007","UPDATE","SUCCESSFUL","admin","node1","","{http://schemas.ericsson.com/ma/SAPC/}SetSAPCSubscription","2016-09-22 02.38.21.412","00 00:00:00.000","0","<?xml version=""1.0"" encoding=""ISO-8859-1"" standalone=""yes""?>
<SetSAPCSubscription xmlns=""http://schemas.ericsson.com/ma/SAPC/"" xmlns:cai3=""http://schemas.ericsson.com/cai3g1.2/"" xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" pcSubscriberId=""008615800000007"">
<pcTrafficId pcTrafficId=""usrIMSI:460000722009813"" xsi:nil=""true""/>
<pcTrafficId pcTrafficId=""usrIMSI:460000000000011"">
<pcTrafficId>usrIMSI:460000000000011</pcTrafficId>
</pcTrafficId>
<pcGroup pcGroupId=""Inpackage"" xsi:nil=""true""/>
<pcGroup pcGroupId=""Outpackage"">
<pcGroupId>Outpackage</pcGroupId>
<pcGroupPriority>30</pcGroupPriority>
<pcGroupStartDate>22-09-2016T02:38:21</pcGroupStartDate>
<pcGroupEndDate>29-09-2016</pcGroupEndDate>
</pcGroup>
<pcNotificationData>
<pcNotificationSMS pcNotificationSMS=""008615800000002"" xsi:nil=""true""/>
<pcNotificationSMS pcNotificationSMS=""008615800000022"">
<pcNotificationSMS>008615800000022</pcNotificationSMS>
</pcNotificationSMS>
</pcNotificationData>
<pcSubcriberQualificationData>
<pcSubscriberChargingProfile>
<pcSubscriberChargingProfileName>online</pcSubscriberChargingProfileName>
</pcSubscriberChargingProfile>
</pcSubcriberQualificationData>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""usrBillCycleDate:1"" xsi:nil=""true""/>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""usrBillCycleDate:98"">
<pcOperatorSpecificInfo>usrBillCycleDate:98</pcOperatorSpecificInfo>
</pcOperatorSpecificInfo>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""PackageType:0"" xsi:nil=""true""/>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""PackageType:2"">
<pcOperatorSpecificInfo>PackageType:2</pcOperatorSpecificInfo>
</pcOperatorSpecificInfo>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""operateTime:20150401000000"" xsi:nil=""true""/>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""operateTime:20150401000022"">
<pcOperatorSpecificInfo>operateTime:20150401000022</pcOperatorSpecificInfo>
</pcOperatorSpecificInfo>
</SetSAPCSubscription>","JOBID=507;",""
"internal","node11609220238210184CAI3G1_2","/2","","","GET","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.414","00 00:00:00.002","0","","",""
"southbound","node11609220238210184CAI3G1_2","/2/1","","","SEARCH","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.414","00 00:00:00.002","0","dn: mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
Search Scope: SUBTREE
Search Filter: (objectClass=*)
Time Limit Milliseconds : 0
Count Limit: 0
Return Object: False
DerefAliases: ALWAYS
DerefLink: False","dn: mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
mscId: 008615800000007
objectClass: top
objectClass: CUDBMultiServiceConsumer

dn: serv=PCRF
Sms: 008615800000002
serv: PCRF
SSubId: 008615800000007
CDC: 0
SOpInf: PackageType:0
SOpInf: usrBillCycleDate:1
SOpInf: operateTime:20150401000000
objectClass: top
objectClass: CUDBServiceAuxiliary
objectClass: SAPC
objectClass: SAPC1
objectClass: SAPC2
TrafId: usrIdentifier:008615800000007
TrafId: usrIMSI:460000722009813
GrpId: Silver
GrpId: Inpackage
CharP: offline

dn: GrpId=Silver,serv=PCRF
Gprio: 100
GrpId: Silver
objectClass: top
objectClass: SAPC3

dn: GrpId=Inpackage,serv=PCRF
StartD: 22-09-2016T02:38:21
Gprio: 30
GrpId: Inpackage
EndD: 01-10-2016
objectClass: top
objectClass: SAPC3

",""
"internal","node11609220238210184CAI3G1_2","/3","","","GET","FAILED","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.417","00 00:00:00.002","","","[LDAP: error code 32 - No Such Object]",""
"southbound","node11609220238210184CAI3G1_2","/3/1","","","SEARCH","FAILED","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.417","00 00:00:00.001","32","dn: TRAFFICID=usrIMSI:460000000000011,dc=trafficId,ou=identities,dc=operator,dc=com
Search Scope: OBJECT
Search Filter: (objectClass=*)
Time Limit Milliseconds : 0
Count Limit: 0
Return Object: False
DerefAliases: ALWAYS
DerefLink: False","[LDAP: error code 32 - No Such Object]",""
"internal","node11609220238210184CAI3G1_2","/4","","","MODIFY","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.419","00 00:00:00.008","0","","",""
"southbound","node11609220238210184CAI3G1_2","/4/1","","","MODIFY","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.420","00 00:00:00.006","0","dn: serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
changetype: modify
replace: GrpId
GrpId: Silver
GrpId: Outpackage
-
delete: TrafId
TrafId: usrIMSI:460000722009813
-
add: TrafId
TrafId: usrIMSI:460000000000011
-
delete: Sms
Sms: 008615800000002
-
add: Sms
Sms: 008615800000022
-
replace: CharP
CharP: online
-
replace: SOpInf
SOpInf: usrBillCycleDate:98
SOpInf: PackageType:2
-
add: SOpInf
SOpInf: operateTime:20150401000022
-
replace: CDC
CDC: 0
-
replace: CDC
CDC: 1","",""
"internal","node11609220238210184CAI3G1_2","/5","","","REMOVE","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.427","00 00:00:00.011","0","","",""
"southbound","node11609220238210184CAI3G1_2","/5/1","","","DELETE","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.427","00 00:00:00.011","0","dn: GrpId=Inpackage,serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
changetype: delete","",""
"internal","node11609220238210184CAI3G1_2","/6","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.439","00 00:00:00.007","0","","",""
"southbound","node11609220238210184CAI3G1_2","/6/1","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.439","00 00:00:00.007","0","dn: GrpId=Outpackage,serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
changetype: add
GrpId: Outpackage
Gprio: 30
StartD: 22-09-2016T02:38:21
EndD: 29-09-2016
objectClass: top
objectClass: SAPC3","",""
"internal","node11609220238210184CAI3G1_2","/7","","","REMOVE","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.446","00 00:00:00.013","0","","",""
"southbound","node11609220238210184CAI3G1_2","/7/1","","","SEARCH","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.447","00 00:00:00.001","0","dn: TRAFFICID=usrIMSI:460000722009813,dc=trafficId,ou=identities,dc=operator,dc=com
Search Scope: SUBTREE
Search Filter: objectClass=*
Time Limit Milliseconds : 0
Count Limit: 0
Return Object: False
DerefAliases: NEVER
DerefLink: False","dn: TRAFFICID=usrIMSI:460000722009813,dc=trafficId,ou=identities,dc=operator,dc=com
aliasedObjectName: mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
objectClass: top
objectClass: alias
objectClass: TRAFFICID
TRAFFICID: usrIMSI:460000722009813

",""
"southbound","node11609220238210184CAI3G1_2","/7/2","","","DELETE","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.449","00 00:00:00.010","0","dn: TRAFFICID=usrIMSI:460000722009813,dc=trafficId,ou=identities,dc=operator,dc=com
changetype: delete","",""
"internal","node11609220238210184CAI3G1_2","/8","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.460","00 00:00:00.010","0","","",""
"southbound","node11609220238210184CAI3G1_2","/8/1","","","ADD","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.460","00 00:00:00.010","0","dn: TRAFFICID=usrIMSI:460000000000011,dc=trafficId,ou=identities,dc=operator,dc=com
changetype: add
objectClass: top
objectClass: alias
objectClass: TRAFFICID
aliasedObjectName: mscId=008615800000007,ou=multiSCs,dc=operator,dc=com","",""
"northbound","node11609220238210185CAI3G1_2","","","ISDN=008615800000007","Get","SUCCESSFUL","admin","node1","CAI3G1_2","SAPC@http://www.chinamobile.com/PCRF/","2016-09-22 02.38.21.737","00 00:00:00.018","0","<soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:pcrf=""http://www.chinamobile.com/PCRF/"" xmlns:pcrf1=""pcrf:soap""><soapenv:Header><pcrf:Header>
         <Address>127.0.0.1</Address>
         <Username>admin</Username>
         <Password>******</Password>
         <time>?</time>
         <serial>?</serial>
      </pcrf:Header></soapenv:Header><soapenv:Body>
      <pcrf1:getSubscriber>
         <inPara>
            <subscriber>
               <attribute>
                  <key>usrIdentifier</key>
                  <value>008615800000007</value>
               </attribute>
            </subscriber>
         </inPara>
      </pcrf1:getSubscriber>
   </soapenv:Body></soapenv:Envelope>","<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/""><S:Body><ns3:getSubscriberResponse xmlns:ns2=""http://www.chinamobile.com/PCRF/"" xmlns:ns3=""pcrf:soap""><result><resultCode>0</resultCode><subscriber><attribute><key>usrIdentifier</key><value>008615800000007</value></attribute><attribute><key>usrNotifyMSISDN</key><value>008615800000022</value></attribute><attribute><key>usrIMSI</key><value>460000000000011</value></attribute><attribute><key>usrBillingType</key><value>0</value></attribute><attribute><key>usrGrade</key><value>2</value></attribute><attribute><key>usrStatus</key><value>2</value></attribute><attribute><key>usrBillCycleDate</key><value>98</value></attribute><attribute><key>PackageType</key><value>2</value></attribute><attribute><key>operateTime</key><value>20150401000022</value></attribute></subscriber></result></ns3:getSubscriberResponse></S:Body></S:Envelope>",""
"internal","node11609220238210185CAI3G1_2","/1","","pcSubscriberId=008615800000007","READ","SUCCESSFUL","admin","node1","","{http://schemas.ericsson.com/ma/SAPC/}GetSAPCSubscription","2016-09-22 02.38.21.742","00 00:00:00.000","0","","JOBID=508;",""
"internal","node11609220238210185CAI3G1_2","/2","","","GET","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.743","00 00:00:00.003","0","","",""
"southbound","node11609220238210185CAI3G1_2","/2/1","","","SEARCH","SUCCESSFUL","","node1","LDAP","sapc_cudb","2016-09-22 02.38.21.743","00 00:00:00.002","0","dn: serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
Search Scope: SUBTREE
Search Filter: (objectClass=*)
Time Limit Milliseconds : 0
Count Limit: 0
Return Object: False
DerefAliases: ALWAYS
DerefLink: False","dn: serv=PCRF,mscId=008615800000007,ou=multiSCs,dc=operator,dc=com
Sms: 008615800000022
serv: PCRF
SSubId: 008615800000007
CDC: 1
SOpInf: usrBillCycleDate:98
SOpInf: PackageType:2
SOpInf: operateTime:20150401000022
objectClass: top
objectClass: CUDBServiceAuxiliary
objectClass: SAPC
objectClass: SAPC1
objectClass: SAPC2
TrafId: usrIdentifier:008615800000007
TrafId: usrIMSI:460000000000011
GrpId: Silver
GrpId: Outpackage
CharP: online

dn: GrpId=Silver
Gprio: 100
GrpId: Silver
objectClass: top
objectClass: SAPC3

dn: GrpId=Outpackage
StartD: 22-09-2016T02:38:21
Gprio: 30
GrpId: Outpackage
EndD: 29-09-2016
objectClass: top
objectClass: SAPC3

",""
